sim_id,step,s0,sales
1,1,2427200.267307693,2474853.3863082547
1,2,2427200.267307693,2373659.7946625035
1,3,2427200.267307693,2463499.077695608
1,4,2427200.267307693,2333960.1729874667
1,5,2427200.267307693,2210852.230425739
1,6,2427200.267307693,2246479.445090507
1,7,2427200.267307693,2258212.876265903
1,8,2427200.267307693,2290681.6997762695
1,9,2427200.267307693,2299823.2160436087
1,10,2427200.267307693,2236796.7004033
1,11,2427200.267307693,2221856.7612610464
1,12,2427200.267307693,2418161.963853871
1,13,2427200.267307693,2416775.98190688
1,14,2427200.267307693,2258425.672945149
1,15,2427200.267307693,2157272.2818441
1,16,2427200.267307693,2025071.6891037333
1,17,2427200.267307693,1917216.5721193547
1,18,2427200.267307693,1765794.3363984218
1,19,2427200.267307693,1449663.227932759
1,20,2427200.267307693,1531184.2317079226
1,21,2427200.267307693,1611616.1304649762
1,22,2427200.267307693,1582145.7309667268
1,23,2427200.267307693,1495566.799275204
1,24,2427200.267307693,1398321.0633069105
1,25,2427200.267307693,1447216.6825676803
1,26,2427200.267307693,1475333.5944965538
1,27,2427200.267307693,1526994.0529486376
1,28,2427200.267307693,1528351.6480240705
1,29,2427200.267307693,1603828.4445229452
1,30,2427200.267307693,1656634.2630164444
1,31,2427200.267307693,1724788.815834791
1,32,2427200.267307693,1785418.4264111135
1,33,2427200.267307693,1986759.5191818634
1,34,2427200.267307693,1860204.6779345423
1,35,2427200.267307693,2043013.0061264178
1,36,2427200.267307693,2003452.2130061584
1,37,2427200.267307693,1996383.6266747154
1,38,2427200.267307693,2006942.8035200832
1,39,2427200.267307693,1953622.9948476225
1,40,2427200.267307693,1646186.38608758
1,41,2427200.267307693,1609193.33616055
1,42,2427200.267307693,1614961.4489019974
1,43,2427200.267307693,1406014.642836141
1,44,2427200.267307693,1473158.7215260065
1,45,2427200.267307693,1401849.4983987897
1,46,2427200.267307693,1577346.2834886205
1,47,2427200.267307693,1610086.040924198
1,48,2427200.267307693,1515664.2300006151
1,49,2427200.267307693,1536680.9847654158
1,50,2427200.267307693,1568541.5394431413
1,51,2427200.267307693,1679387.1734291674
1,52,2427200.267307693,1661228.4958195628
2,1,2479762.037307692,2467210.1964532873
2,2,2479762.037307692,2540447.8040867327
2,3,2479762.037307692,2591408.458740819
2,4,2479762.037307692,2579419.490638843
2,5,2479762.037307692,2476817.573146401
2,6,2479762.037307692,2613644.618671038
2,7,2479762.037307692,2725001.27045999
2,8,2479762.037307692,2638352.065873858
2,9,2479762.037307692,2722010.8325861357
2,10,2479762.037307692,2777103.8854544885
2,11,2479762.037307692,2904021.868164394
2,12,2479762.037307692,2922853.8105727904
2,13,2479762.037307692,2785915.992749368
2,14,2479762.037307692,2883540.6531165484
2,15,2479762.037307692,2796368.038112808
2,16,2479762.037307692,2860768.864798691
2,17,2479762.037307692,3063509.0813276446
2,18,2479762.037307692,2893049.2433110173
2,19,2479762.037307692,3082324.6985232234
2,20,2479762.037307692,3246406.8468993297
2,21,2479762.037307692,3183373.9399569486
2,22,2479762.037307692,3153822.39800602
2,23,2479762.037307692,3071823.478966288
2,24,2479762.037307692,3003761.454903085
2,25,2479762.037307692,3074488.927142413
2,26,2479762.037307692,2966770.323350397
2,27,2479762.037307692,2944573.772508135
2,28,2479762.037307692,2927980.2803008794
2,29,2479762.037307692,2917098.973440111
2,30,2479762.037307692,2939770.8842565287
2,31,2479762.037307692,3133229.7490173224
2,32,2479762.037307692,3079533.766866219
2,33,2479762.037307692,2984376.0792924394
2,34,2479762.037307692,3080767.919468805
2,35,2479762.037307692,3127459.5553007843
2,36,2479762.037307692,3156689.7299862895
2,37,2479762.037307692,3228787.825923939
2,38,2479762.037307692,3059160.4622697313
2,39,2479762.037307692,3188259.7574182693
2,40,2479762.037307692,3243815.2919444293
2,41,2479762.037307692,3359399.7596285595
