week,delta,sales
1,142771.98415592624,2327400.5280020796
2,-112640.95874868413,2214759.5692533953
3,6079.984565250187,2220839.5538186454
4,276504.3522084487,2497343.906027094
5,352843.2498492222,2850187.155876316
6,-258166.748046029,2592020.4078302872
7,-22190.693001978347,2569829.714828309
8,295436.67936626973,2865266.3941945788
9,-107065.99197800811,2758200.4022165705
10,-6572.040825978753,2751628.361390592
11,-14673.454792626124,2736954.906597966
12,-207725.965889323,2529228.940708643
13,-101033.95372298759,2428194.986985655
14,-1026.7379323909363,2427168.2490532645
15,-93612.3555475223,2333555.893505742
16,274215.47691162996,2607771.370417372
17,-109778.66357402138,2497992.7068433505
18,-98260.65938127374,2399732.047462077
19,173898.94207720464,2573630.9895392815
20,-248353.53613921194,2325277.4534000694
21,-3737.0817800029326,2321540.3716200665
22,-367613.0445296002,1953927.3270904664
23,287168.83400940034,2241096.161099867
24,-59840.666614415066,2181255.494485452
25,-106612.18313848888,2074643.3113469628
26,-292158.9070393695,1782484.4043075934
27,4195.412041562055,1786679.8163491553
28,-186677.0952752938,1600002.7210738617
29,-122422.76989441788,1477579.9511794439
30,316191.72330395924,1793771.674483403
31,-36209.244342904094,1757562.430140499
32,-252065.8749488238,1505496.5551916752
33,45371.98774976852,1550868.5429414436
34,-81297.975779744593,1469570.567161699
35,148165.15835392228,1617735.7255156212
36,351052.87144027976,1968788.596955901
37,-233017.67474632943,1735770.9222095716
38,115563.93907428875,1851334.8612838604
39,26511.897376681038,1877846.7586605414
40,221755.06433545036,2099601.822995992
41,-49275.494622226906,2050326.3283737649
42,207558.24048176032,2257884.5688555255
43,-414218.7207093784,1843665.8481461469
44,412958.29529467213,2256624.143440819
45,214340.1018711299,2470964.245311949
46,-30248.421838879884,2440715.823473069
47,-342917.6136939642,2097798.2097791047
48,160928.64155704784,2258726.8513361528
49,122438.4420064722,2381165.293342625
50,4534.134659920748,2385699.4280025456
51,42541.85041403004,2428241.278416576
52,-134613.40648075778,2293627.871935818
53,94889.16304559603,2388517.0349814137
54,77030.11774251338,2465547.1527239275
55,-61192.677224816885,2404354.4754991103
56,-315757.6941389286,2088596.781360182
57,174834.9141640241,2263431.695524206
58,139538.92157554676,2402970.6170997526
59,-195353.3042493371,2207617.3128504157
60,-377979.70867603354,1829637.604174382
61,55427.569760559476,1885065.1739349416
62,-77047.0008168671,1808018.1731180744
63,66904.46544926889,1874922.6385673434
64,-305585.9077355519,1569336.7308317914
65,-224944.13746899238,1344392.593362799
66,267565.5346646122,1611958.1280274112
67,103310.98390567639,1715269.1119330875
68,147315.9450985802,1862585.0570316678
69,443248.9380333258,2305833.9950649934
70,37090.51018394815,2342924.5052489415
71,-475843.89612872415,1867080.6091202176
72,86452.56334238139,1953533.172462599
73,288169.6736997731,2241702.8461623723
74,502089.3530910692,2743792.1992534413
75,-325541.9057495946,2418250.2935038465
76,-271110.0551136713,2147140.2383901756
77,-163926.9271396095,1983213.3112505658
78,-247796.55635945316,1735416.7548911127
79,-149457.672446579,1585959.0824445337
80,-38582.04780216312,1547377.0346423704
81,-283240.44368347607,1264136.5909588945
82,496654.2429805366,1760790.833939431
83,32021.57493824198,1792812.408877673
84,-14191.963077317328,1778620.4458003556
85,125431.09699390749,1904051.5427942632
86,15076.00517021126,1919127.5479644744
87,-25747.569377670538,1893379.978586804
88,361737.9669397166,2255117.9455265207
89,-46205.2519774472,2208912.6935490733
90,-303081.0831158919,1905831.6104331813
91,98950.04590355295,2004781.6563367343
92,-78594.38851808314,1926187.2678186512
93,-119605.81940891856,1806581.4484097327
94,-251186.51491302403,1555394.9334967085
95,109233.54068275429,1664628.474179463
96,-35846.14161261977,1628782.3325668431
97,130259.52775243888,1759041.860319282
98,-50380.27234497975,1708661.5879743022
99,-152530.75072845537,1556130.8372458469
100,307174.90849200566,1863305.7457378525
101,-59387.40439851443,1803918.341339338
102,234371.93746947043,2038290.2788088084
103,-283327.2383400446,1754963.040468764
104,-106195.71152808199,1648767.3289406819
105,-58806.41530661564,1589960.9136340662
106,-88096.23431317002,1501864.6793208963
107,330890.7645406222,1832755.4438615185
108,582.1325719604292,1833337.5764334789
109,64884.796095988044,1898222.372529467
110,-220898.2883101818,1677324.0842192853
111,-169561.6490368797,1507762.4351824054
112,246442.21839855795,1754204.6535809634
113,309160.66921417473,2063365.3227951382
114,306844.25219060876,2370209.5749857468
115,-326451.1947541472,2043758.3802315998
116,499782.4317929981,2543540.812024598
117,250971.00119574805,2794511.813220346
118,-369.86058507939197,2794141.9526352664
119,175523.4732320875,2969665.425867354
120,-227885.97637720217,2741779.449490152
121,-257936.13491720601,2483843.3145729457
122,17878.271063064305,2501721.58563601
123,-282583.8603488881,2219137.725287122
124,51829.48395682356,2270967.209243946
125,318607.5307719634,2589574.740015909
126,-242935.85943720417,2346638.8805787046
127,-171783.05416883412,2174855.8264098708
128,17279.413500346473,2192135.239910217
129,-239015.52132716303,1953119.7185830541
130,-86246.2153615437,1866873.5032215104
131,216261.40655849254,2083134.909780003
132,239572.45323504723,2322707.36301505
133,98511.41747984008,2421218.78049489
134,-439868.39578013436,1981350.384714756
135,-6939.867939461299,1974410.5167752947
136,262507.4480173951,2236917.96479269
137,201916.739037718,2438834.703830408
138,-39891.87111146255,2398942.832718945
139,-644192.9186127573,1754749.9141061879
140,20748.19515507367,1775498.1092612615
141,144248.61414734134,1919746.7234086029
142,17096.28658756544,1936843.0099961683
143,43976.46405291127,1980819.4740490795
144,110004.10883742118,2090823.5828865007
145,-89441.17763036053,2001382.40525614
146,321563.22808702185,2322945.633343162
147,119355.54668177401,2442301.180024936
148,-293222.935235026,2149078.24478991
149,338806.88180170336,2487885.1265916135
150,296149.7021842734,2784034.828775887
151,204536.84648783985,2988571.6752637266
152,-394366.9288740911,2594204.7463896354
153,-131048.30532549546,2463156.44106414
154,159123.55549895472,2622279.9965630947
155,16594.955614686834,2638874.9521777816
156,89880.98145589275,2728755.9336336744
157,598439.4195460828,3327195.3531797575
158,-191035.89752872832,3136159.455651029
159,-502883.49125686986,2633275.964394159
160,71982.28425348423,2705258.2486476433
161,-159537.68069580008,2545720.567951843
162,113490.46735435742,2659211.0353062004
163,-189591.90228200014,2469619.1330242003
164,538821.7402416347,3008440.873265835
165,-23728.812066522158,2984712.061199313
166,-108897.82183672272,2875814.23936259
167,-33977.98850064253,2841836.2508619474
168,213806.73337209245,3055642.98423404
169,29508.562086420607,3085151.5463204607
170,-385452.70778291655,2699698.838537544
171,4951.962285235747,2704650.80082278
172,189163.439209296,2893814.240032076
173,15455.5070903922,2909269.747122468
174,183101.42802099502,3092371.175143463
175,-29211.989542138763,3063159.1856013243
176,-7876.889296757105,3055282.2963045673
177,122239.89202747734,3177522.1883320445
178,245207.83529504834,3422730.023627093
179,-294120.1282090521,3128609.895418041
180,-2000.37871310227,3126609.5167049384
181,-11025.867442092238,3115583.6492628464
182,-176715.4837093461,2938868.1655535
183,-243052.82168542428,2695815.343868076
184,-145842.20091298906,2549973.1429550867
185,147393.05883318777,2697366.2017882746
186,-94203.33651122726,2603162.8652770473
187,-182969.4775882084,2420193.387688839
188,45422.429078207824,2465615.8167670467
189,-291788.4689551751,2173827.3478118717
190,257955.6607046667,2431783.0085165384
191,-110646.31652268156,2321136.691993857
192,51615.08915204787,2372751.7811459047
193,18349.330182523547,2391101.111328428
194,6006.876123227499,2397107.987451656
195,441840.87573569885,2838948.8631873545
196,-192709.18253615033,2646239.680651204
197,281942.76993668743,2928182.4505878915
198,13669.00381890589,2941851.4544067974
199,-195088.18787257365,2746763.266534224
200,-10496.367513406929,2736266.899020817
201,185919.17540698123,2922186.0744277984
202,-96418.14268178213,2825767.9317460163
203,-179885.3514691377,2645882.5802768786
204,42856.92387463789,2688739.504151516
205,244160.9432797605,2932900.4474312766
206,-11627.047192336931,2921273.40023894
207,-327990.05867391534,2593283.3415650246
208,-308638.2100337301,2284645.1315312944
209,-178997.38693830048,2105647.744592994
210,-120885.18230929688,1984762.562283697
211,904.2921890854295,1985666.8544727825
212,167549.24949639157,2153216.103969174
213,-98609.4007129049,2054606.7032562692
214,-262204.71645167714,1792401.986804592
215,152281.7454442038,1944683.732248796
216,72406.57554012872,2017090.3077889245
