week,delta,sales
1,438124.656137748,2795366.05344544
2,284653.0441437748,3080019.0975892143
3,-152936.51764998477,2927082.5799392294
4,518481.2812460422,3445563.8611852718
5,55425.348033934395,3500989.209219206
6,-311716.14548246836,3189273.0637367377
7,339002.4750362201,3528275.538772958
8,20931.09409804537,3549206.632871003
9,-220923.26574994833,3328283.367121055
10,348387.35467217123,3676670.721793226
11,-165406.76976975292,3511263.952023473
12,227518.70648500425,3738782.6585084773
13,291627.419645102,4030410.0781535795
14,-157206.77954549942,3873203.2986080796
15,-212839.29300100813,3660364.0056070713
16,517105.9500765989,4177469.9556836705
17,286372.929790377,4463842.885474048
18,-215632.34911747137,4248210.536356576
19,-52098.065065666495,4196112.47129091
20,-305819.6179492489,3890292.853341661
21,350090.81468392676,4240383.668025588
22,-377479.84311300376,3862903.824912584
23,524889.3167765036,4387793.141689087
24,316379.4940857628,4704172.635774851
25,-220650.5827239979,4483522.053050852
26,-332141.23191910895,4151380.8211317435
27,-154068.91282088254,3997311.908310861
28,240166.47627713298,4237478.384587994
29,-230150.79132113708,4007327.593266857
30,542328.486280228,4549656.079547085
31,330579.058244395,4880235.13779148
32,200875.9011453813,5081111.038936861
33,-129326.87986646623,4951784.159070395
34,303486.3032035527,5255270.462273948
35,-67560.88862426512,5187709.573649682
36,563275.7277927302,5750985.301442413
37,-296604.66062361,5454380.640818803
38,-87150.19220032929,5367230.4486184735
39,368266.712661353,5735497.1612798255
40,-23342.450165224225,5712154.711114602
41,-186198.31921332126,5525956.391901281
42,-31872.986704376923,5494083.405196903
43,-405484.09446392686,5088599.3107329765
44,600473.2365879365,5689072.5473209135
45,-27797.926185086963,5661274.621135826
46,334160.7758664507,5995435.397002277
47,146285.23459924865,6141720.6316015255
48,-59891.61266837416,6081829.018933151
49,425906.7103448068,6507735.729277958
50,-153865.38239025068,6353870.346887708
51,-131027.44262628818,6222842.90426142
52,-237475.85725891544,5985367.047002504
53,-99573.17738132244,5885793.869621182
54,398621.9195136017,6284415.789134784
55,-193359.0731032644,6091056.716031519
56,162604.9895354528,6253661.705566972
57,-51535.66151903343,6202126.044047939
58,-72744.19080450517,6129381.853243433
59,-273973.02892485744,5855408.824318576
60,-383708.9270406238,5471699.897277951
61,-123284.7178554751,5348415.179422477
62,306040.61377481645,5654455.793197293
63,392537.6539228988,6046993.4471201915
64,-340209.19988366467,5706784.2472365275
65,217172.71337334125,5923956.960609868
66,4183.980749611162,5928140.94135948
67,-94512.70390404951,5833628.23745543
68,440855.01507248374,6274483.252527914
69,618674.1692288907,6893157.421756804
70,-134303.02436902985,6758854.397387775
71,-442513.20858580037,6316341.188801974
72,-104642.53111678992,6211698.657685183
73,16564.521827574692,6228263.179512758
74,145103.81063596316,6373366.990148721
75,-352200.288312208,6021166.701836513
76,189432.70255190064,6210599.404388415
77,-255089.66029321498,5955509.744095199
78,-305484.9419391942,5650024.802156005
79,-246395.42648956593,5403629.3756664395
80,-179772.8792861836,5223856.496380256
81,-326782.33768229914,4897074.158697956
82,141837.98118917702,5038912.139887134
83,-137348.82797790229,4901563.31190923
84,-165117.45275680197,4736445.859152429
85,427704.92612761084,5164150.7852800395
86,-147531.02109184832,5016619.764188191
87,-172060.94397660773,4844558.820211584
88,60769.97370005949,4905328.793911643
89,-184353.4828375744,4720975.311074069
90,-338704.10986054485,4382271.201213524
91,-97133.08867147935,4285138.112542044
92,-203815.35089897783,4081322.761643067
93,-228458.1522285354,3852864.6094145314
94,201404.28784608058,4054268.897260612
95,417972.1966536615,4472241.093914273
96,330797.2381091365,4803038.33202341
97,-78319.95964442316,4724718.372378986
98,-186862.15408432556,4537856.218294661
99,260684.2091755088,4798540.42747017
100,27984.31906540381,4826524.746535573
101,-192274.32724978184,4634250.419285791
102,-15761.2687412089,4618489.150544582
103,-326834.4905438752,4291654.660000707
104,-220400.33475820575,4071254.3252425017
105,317000.9512977967,4388255.276540298
106,299401.39002722147,4687656.666567519
107,551160.7933970959,5238817.459964615
108,352686.12869427,5591503.588658885
109,-117602.09365411603,5473901.495004769
110,-289322.40722023364,5184579.087784535
111,-258475.43175364865,4926103.656030887
112,500417.6542296716,5426521.3102605585
113,538103.6917459156,5964625.002006474
114,27785.63549434337,5992410.637500817
115,-352746.6586241824,5639663.978876635
116,143717.63605008702,5783381.614926722
117,-5787.282933395209,5777594.331993327
118,-156812.07744376655,5620782.25454956
119,-51121.92261869811,5569660.331930862
120,215405.03177375149,5785065.363704613
121,-311577.5754937084,5473487.788210905
122,-145847.2056245464,5327640.582586359
123,-326387.8122458759,5001252.770340483
124,-125446.72273319271,4875806.04760729
125,543780.0879969043,5419586.135604194
126,-302564.2638263771,5117021.871777818
127,249115.9542155574,5366137.825993374
128,362719.13090180757,5728856.956895182
129,-300208.6251399926,5428648.331755189
130,300513.0227718139,5729161.354527003
131,482282.7163846794,6211444.070911683
132,-12636.401502036842,6198807.669409646
133,-97396.65014368997,6101411.019265955
134,88029.79679084467,6189440.816056801
135,348166.3360370179,6537607.152093818
136,1144.695807643613,6538751.847901462
137,473663.3440737271,7012415.191975189
138,-180559.92121295288,6831855.270762237
139,-34743.98879892223,6797111.281963315
140,-144122.73594148294,6652988.546021832
141,-69914.24764356167,6583074.29837827
142,-146317.08164822892,6436757.216730041
143,-130165.41713437774,6306591.799595663
144,418435.2128794763,6725027.01247514
145,298593.2453162197,7023620.257791359
146,545556.0967862384,7569176.354577597
147,-84871.90463607418,7484304.449941523
148,176145.59454766277,7660450.044489186
149,46991.225603428014,7707441.270092614
150,21359.53268860016,7728800.802781215
151,475237.7048300564,8204038.507611271
152,-393555.6210698899,7810482.8865413815
153,273592.50382992683,8084075.390371308
154,-60976.24629724574,8023099.144074062
155,-146618.31960302952,7876480.824471032
156,406343.70035672747,8282824.52482776
157,202998.2925929716,8485822.817420732
158,-271378.80107755173,8214444.01634318
159,-458760.6634124367,7755683.352930743
160,-113337.38045574892,7642345.972474994
161,256473.91025726293,7898819.882732257
162,-88396.09244196513,7810423.790290292
163,-270511.13839880575,7539912.651891487
164,167175.43552808702,7707088.087419573
165,-170847.92033245252,7536240.167087121
166,-222023.96909770556,7314216.197989415
167,-177006.40866537366,7137209.789324041
168,-28118.414733565314,7109091.374590477
169,-138858.83811656092,6970232.536473915
170,-388199.2759098712,6582033.260564044
171,355311.8562811683,6937345.116845213
172,-42925.98884079658,6894419.128004415
173,-147302.9873407681,6747116.140663648
174,-46568.50835611146,6700547.632307537
175,-174142.6323249697,6526404.999982567
176,-161322.8738997492,6365082.126082817
177,425787.406346383,6790869.5324292
178,-9250.233365391974,6781619.299063807
179,175606.4924550767,6957225.791518884
180,351134.35858660075,7308360.150105486
181,345711.1553279121,7654071.305433398
182,246152.17366465644,7900223.479098054
183,-302634.54368209874,7597588.935415955
