week,difference_from_previous_week,sales
week 1,NA,3061256.023846153
week 2,-550579.9299999988,2510676.0938461544
week 3,-710632.6600000006,1800043.4338461538
week 4,308692.9400000004,2108736.373846154
week 5,-166173.46000000043,1942562.9138461538
week 6,25056.97999999998,1967619.8938461537
week 7,409609.60999999987,2377229.5038461536
week 8,-20194.799999999814,2357034.703846154
week 9,-320019.10000000056,2037015.6038461532
week 10,306559.6500000004,2343575.2538461536
week 11,123227.25000000093,2466802.5038461545
week 12,-69377.96000000043,2397424.543846154
week 13,-248521.36000000034,2148903.183846154
week 14,13286.419999999925,2162189.6038461537
week 15,178314.31000000006,2340503.9138461538
week 16,60856.889999999665,2401360.8038461534
week 17,197385.4300000011,2598746.2338461545
week 18,-334216.9600000004,2264529.273846154
week 19,-6201.150000000838,2258328.1238461533
week 20,254325.27000000048,2512653.3938461537
week 21,-255264.45999999996,2257388.933846154
week 22,192869.51999999955,2450258.4538461533
week 23,-132871.6499999999,2317386.8038461534
week 24,231863.86999999918,2549250.6738461526
week 25,-22549.919999999925,2526700.7538461527
week 26,-112646.41999999993,2414054.3338461528
week 27,-147542.3799999999,2266511.953846153
week 28,376843.7799999998,2643355.7338461527
week 29,-300007.2599999993,2343348.4738461534
week 30,40103.669999999925,2383452.1438461533
week 31,-163863.16000000061,2219588.9838461527
week 32,145193.52000000188,2364782.5038461545
week 33,138488.3099999996,2503270.813846154
week 34,270.7200000002049,2503541.5338461543
week 35,-276168.8100000005,2227372.723846154
week 36,12751.11999999918,2240123.843846153
week 37,172100.2600000007,2412224.1038461537
week 38,-93344.97999999998,2318879.1238461537
week 39,-134250.58000000054,2184628.543846153
week 40,-7385.639999998733,2177242.9038461545
week 41,185337.62000000058,2362580.523846155
week 42,143884.7200000002,2506465.2438461552
week 43,-223339.68000000063,2283125.5638461546
week 44,60288.7900000005,2343414.353846155
week 45,119352.17000000365,2462766.5238461588
week 46,79443.27000000421,2542209.793846163
week 47,129116.09999999776,2671325.8938461607
week 48,94681.85999999894,2766007.7538461597
week 49,568927.0299999826,3334934.7838461422
week 50,-361423.8599999924,2973510.92384615
week 51,177786.17000000412,3151297.093846154
week 52,219265.73999999976,3370562.8338461537
