week,difference_from_previous_week,sales
week 1,NA,2586774.637692307
week 2,-134427.10999999987,2452347.5276923073
week 3,-36463.40999999968,2415884.1176923076
week 4,-44040.30000000028,2371843.8176923073
week 5,-175038.6499999999,2196805.1676923074
week 6,86645.18000000017,2283450.3476923076
week 7,179739.6000000001,2463189.9476923076
week 8,-79508.75000000023,2383681.1976923076
week 9,-99639.79000000027,2284041.407692307
week 10,104329.49000000022,2388370.8976923074
week 11,144387.09000000008,2532757.9876923077
week 12,-217827.01000000024,2314930.977692307
week 13,-467.929999999702,2314463.0476923073
week 14,-9678.54000000027,2304784.5076923072
week 15,210511.82000000007,2515296.3276923075
week 16,-159581.7200000002,2355714.607692307
week 17,77601.13000000059,2433315.7376923077
week 18,-95561.68000000063,2337754.057692307
week 19,100888.09000000008,2438642.147692307
week 20,-9651.049999999814,2428991.097692307
week 21,-112793.48000000021,2316197.617692307
week 22,-11384.75,2304812.867692307
week 23,59966.25000000023,2364779.1176923076
week 24,125082.25999999978,2489861.3776923073
week 25,-148075.5199999998,2341785.8576923073
week 26,4496.469999999739,2346282.327692307
week 27,-32895.90999999968,2313386.4176923074
week 28,270439.05000000005,2583825.467692307
week 29,-301120.67000000016,2282704.7976923073
week 30,-5953.030000000494,2276751.767692307
week 31,39887.08000000054,2316638.847692307
week 32,128907.20999999996,2445546.057692307
week 33,430.4099999999162,2445976.467692307
week 34,-35347.90000000014,2410628.567692307
week 35,164426.53000000026,2575055.097692307
week 36,-26185.02000000002,2548870.0776923075
week 37,23800.85999999987,2572670.937692307
week 38,-190271.37999999966,2382399.5576923075
week 39,-41147.39000000036,2341252.1676923074
week 40,11782.429999999935,2353034.597692307
week 41,171667.53000000026,2524702.1276923073
week 42,-104949.57000000007,2419752.557692307
week 43,-45768.96999999997,2373983.5876923073
week 44,44876.22000000044,2418859.807692308
week 45,58100.74000000069,2476960.547692308
week 46,56416.89999999991,2533377.4476923086
week 47,-99325.58000000054,2434051.8676923076
week 48,71148.51000000024,2505200.3776923083
week 49,248521.58000000333,2753721.957692311
week 50,-61994.55000000028,2691727.4076923113
week 51,-137043.01000000373,2554684.3976923074
week 52,71549.95999999996,2626234.3576923073
