week,difference_from_previous_week
week 1,NA
week 2,-119005.8899999999
week 3,-223556.49999999977
week 4,-66726.86999999988
week 5,-71125.97999999998
week 6,-55961.09000000032
week 7,335755.0800000001
week 8,-181497.21999999974
week 9,-120753.3500000001
week 10,174801.8799999999
week 11,197433.55000000005
week 12,-290850.1900000002
week 13,-13636.339999999851
week 14,-62145.05000000028
week 15,440074.4900000002
week 16,-334076.6699999999
week 17,5612.7400000002235
week 18,-5579.350000000326
week 19,214347.1000000001
week 20,-77654.5
week 21,-112387.26000000001
week 22,5256.649999999907
week 23,-6583.09999999986
week 24,287196.9700000002
week 25,-331497.6700000004
week 26,36113.41000000015
week 27,-30268.98999999999
week 28,391400.8099999998
week 29,-420198.22
week 30,110189.80999999982
week 31,-21323.389999999898
week 32,120530.93999999994
week 33,328859.9300000004
week 34,-386546.5900000003
week 35,-146849.10999999987
week 36,-15838.769999999786
week 37,258964.12999999942
week 38,-218202.7799999998
week 39,-67882.3999999999
week 40,1066.6000000000931
week 41,245797.0799999996
week 42,-133450.05999999982
week 43,-90921.52999999956
week 44,22443.31000000029
week 45,176286.20000000065
week 46,89114.14000000013
week 47,-159487.32000000053
week 48,-3936.4000000001397
week 49,290088.8000000017
week 50,120508.39000000106
week 51,-324469.7000000032
week 52,204983.14000000013
