week,difference_from_previous_week
week 1,NA
week 2,185653.61000000034
week 3,-420668.75000000023
week 4,-127555.15000000037
week 5,-38575.51000000001
week 6,-64244.15999999968
week 7,498002.4499999997
week 8,-442397.0899999996
week 9,-66965.52000000025
week 10,186150.3500000008
week 11,557566.8499999994
week 12,-611489.9500000004
week 13,-71654.61999999941
week 14,86496.4699999995
week 15,680267.0600000008
week 16,-456356.64000000106
week 17,-189561.28999999957
week 18,46975.23999999999
week 19,362075.6499999997
week 20,-75363.47999999952
week 21,-373064.97
week 22,106259.07999999938
week 23,98040.1000000001
week 24,767999.0099999998
week 25,-980626.8999999992
week 26,-57541.44000000041
week 27,-4838.380000000121
week 28,813718.0800000001
week 29,-628020.0800000005
week 30,-124482.43999999948
week 31,42825.839999999385
week 32,404719.9400000004
week 33,188945.20000000065
week 34,-267744.43999999994
week 35,-337499.7100000009
week 36,203746.24999999953
week 37,537153.5700000008
week 38,-646946.8500000006
week 39,-106739.25999999954
week 40,25732.900000001537
week 41,691443.1099999999
week 42,-364576.53000000026
week 43,-284063.3499999996
week 44,9379.669999999925
week 45,206610.04000000004
week 46,395599.4600000018
week 47,-452987.91999999713
week 48,47026.600000001956
week 49,327533.3799999915
week 50,535523.2000000002
week 51,-636215.2999999989
week 52,26324.69000000041
