week,difference_from_previous_week
week 1,NA
week 2,-442813.88999999966
week 3,191561.41999999946
week 4,-360417.54999999935
week 5,-88152.58000000031
week 6,-54429.570000000065
week 7,612214.2599999998
week 8,-206535.68999999994
week 9,-208835.71999999974
week 10,357774.9599999995
week 11,331697.1600000006
week 12,-426833.1400000006
week 13,-155880.77000000002
week 14,-155902.23999999976
week 15,475717.93000000063
week 16,-172048.43000000017
week 17,33648.37000000011
week 18,-293633.97000000067
week 19,198886.4200000004
week 20,195574.47999999952
week 21,-219234.6200000001
week 22,-18261.18999999948
week 23,-112884.10999999987
week 24,446130.6599999992
week 25,-254042.48999999976
week 26,-73420.30999999959
week 27,-192534
week 28,642742.7299999995
week 29,-393324.9199999999
week 30,-69754.81000000006
week 31,-119426.22000000067
week 32,225099.7600000007
week 33,283705.38000000035
week 34,-203667.1499999999
week 35,-163419.12000000104
week 36,-36657.779999999795
week 37,356064.5200000005
week 38,-223909.23000000045
week 39,-54599.029999999795
week 40,-126851.56999999983
week 41,296176.8300000001
week 42,27813.19999999972
week 43,-143694.10999999894
week 44,-120244.75999999885
week 45,136759.27999999933
week 46,250273.34000000032
week 47,-305951.7900000005
week 48,62532.93000000203
week 49,494097.8500000015
week 50,4687.939999997616
week 51,-264827.45000000205
week 52,495571.98000000045
