week,difference_from_previous_week
week 1,NA
week 2,48589.12999999989
week 3,51474.52000000025
week 4,10199.319999999832
week 5,-121900.84000000008
week 6,30853.01000000001
week 7,146127.80000000005
week 8,-757.4199999999255
week 9,-147995.16000000003
week 10,57639.77000000002
week 11,90170.40000000014
week 12,-61960.24000000011
week 13,-70370.56000000006
week 14,10404.420000000158
week 15,114599.57000000007
week 16,-75918.29000000027
week 17,-26835.439999999828
week 18,-43592.37000000011
week 19,52433
week 20,34145.83999999997
week 21,-58439.06999999983
week 22,-42291.830000000075
week 23,-1820.8699999999953
week 24,145405.27000000002
week 25,-74833.15000000002
week 26,-41728.44000000006
week 27,-3896.3399999997346
week 28,121989.5299999998
week 29,-31187.999999999884
week 30,-60577.780000000144
week 31,-33241.109999999986
week 32,64530.10000000009
week 33,61674.649999999674
week 34,-48269.60999999975
week 35,-70457.43000000005
week 36,76445.05999999994
week 37,47606.93000000017
week 38,13303.129999999772
week 39,-76487.40999999968
week 40,-39883.180000000284
week 41,69078.40000000014
week 42,-19771.179999999935
week 43,-20870.91000000015
week 44,-57686.419999999925
week 45,62206.56999999983
week 46,64889.92000000016
week 47,-17115.499999999884
week 48,-58272.95000000007
week 49,63788.93000000005
week 50,30963.62999999989
week 51,10685.550000000163
week 52,-53999.55000000005
