week,difference_from_previous_week
week 1,NA
week 2,-637268.3199999998
week 3,69484.71999999974
week 4,-562419.3400000003
week 5,133060.75
week 6,-22720.619999999646
week 7,379602.54000000004
week 8,-93959.5700000003
week 9,-161850.08999999985
week 10,185707.1000000001
week 11,229204.3799999999
week 12,-273648.04000000004
week 13,-12983.990000000224
week 14,-65538.35999999987
week 15,435028.4400000004
week 16,-270849.2899999996
week 17,189041.16999999946
week 18,-256087.94999999972
week 19,137231.29000000004
week 20,37256.37999999989
week 21,-171924.87000000058
week 22,110441.75
week 23,-183543.76999999955
week 24,405452.4599999995
week 25,-224894.5
week 26,-2885.410000000149
week 27,-87729.75999999978
week 28,474331.9099999997
week 29,-603268.04
week 30,157641.54000000004
week 31,-134458.64000000013
week 32,245607.45999999996
week 33,150922.12000000058
week 34,25647.150000000373
week 35,-320224.92000000086
week 36,-12325.759999999776
week 37,218757.9900000007
week 38,-254873.77000000048
week 39,29417.669999999925
week 40,-81775.62999999942
week 41,234283.28000000026
week 42,-68754.55000000028
week 43,37039.77000000095
week 44,-69377.20000000019
week 45,127488.76000000071
week 46,44164.850000001956
week 47,-84905.75999999698
week 48,136813.99000000115
week 49,466691.16999998875
week 50,-94230.80999999726
week 51,-225759.18999999855
week 52,515954.0999999996
