week,difference_from_previous_week
week 1,NA
week 2,-668913.8799999999
week 3,-31409.540000000037
week 4,-191413.39000000013
week 5,-40488.94000000041
week 6,23576.549999999814
week 7,251661.5400000005
week 8,-150207.39000000013
week 9,-135251.43000000063
week 10,213489.69000000088
week 11,345148.2600000007
week 12,-418073.61000000034
week 13,4744.409999999683
week 14,53532.44999999972
week 15,341742.3200000003
week 16,-78889.0700000003
week 17,-9658.479999999981
week 18,-192803.18000000017
week 19,117139.89000000106
week 20,258776.56999999937
week 21,-398449.6699999999
week 22,86761.71999999927
week 23,22408.58000000054
week 24,422175.28000000026
week 25,-208001.11000000127
week 26,-161942.25999999978
week 27,-163292.68999999948
week 28,612934.2099999995
week 29,-415534.9200000004
week 30,70109.27000000048
week 31,-203161.40000000037
week 32,81195.77000000002
week 33,378919.310000001
week 34,-93142.31999999983
week 35,-100178.85000000149
week 36,5935.710000004154
week 37,214164.00999999698
week 38,-328516.07000000076
week 39,-100783.67999999924
week 40,-99419.90000000037
week 41,242692.67000000132
week 42,19480.310000000056
week 43,-134808.3799999999
week 44,-79644.24999999953
week 45,174401.69999999972
week 46,185046.33000000333
week 47,-131034.84999999637
week 48,30906.88000000082
week 49,595555.1399999834
week 50,-124219.02999999607
week 51,-265717.76999999676
week 52,-88471.19999999925
