week,difference_from_previous_week
week 1,NA
week 2,-134427.10999999987
week 3,-36463.40999999968
week 4,-44040.30000000028
week 5,-175038.6499999999
week 6,86645.18000000017
week 7,179739.6000000001
week 8,-79508.75000000023
week 9,-99639.79000000027
week 10,104329.49000000022
week 11,144387.09000000008
week 12,-217827.01000000024
week 13,-467.929999999702
week 14,-9678.54000000027
week 15,210511.82000000007
week 16,-159581.7200000002
week 17,77601.13000000059
week 18,-95561.68000000063
week 19,100888.09000000008
week 20,-9651.049999999814
week 21,-112793.48000000021
week 22,-11384.75
week 23,59966.25000000023
week 24,125082.25999999978
week 25,-148075.5199999998
week 26,4496.469999999739
week 27,-32895.90999999968
week 28,270439.05000000005
week 29,-301120.67000000016
week 30,-5953.030000000494
week 31,39887.08000000054
week 32,128907.20999999996
week 33,430.4099999999162
week 34,-35347.90000000014
week 35,164426.53000000026
week 36,-26185.02000000002
week 37,23800.85999999987
week 38,-190271.37999999966
week 39,-41147.39000000036
week 40,11782.429999999935
week 41,171667.53000000026
week 42,-104949.57000000007
week 43,-45768.96999999997
week 44,44876.22000000044
week 45,58100.74000000069
week 46,56416.89999999991
week 47,-99325.58000000054
week 48,71148.51000000024
week 49,248521.58000000333
week 50,-61994.55000000028
week 51,-137043.01000000373
week 52,71549.95999999996
