week,difference_from_previous_week
week 1,NA
week 2,-435279.91000000015
week 3,-140590.80999999982
week 4,-262312.8899999999
week 5,-14650.740000000456
week 6,61942.78000000003
week 7,218793.72000000067
week 8,53262.36999999918
week 9,-320071.5399999996
week 10,232554.1499999999
week 11,97586.33000000007
week 12,-57719.330000000075
week 13,-113233.94999999972
week 14,49702.47999999975
week 15,189103.3800000006
week 16,-134864.73000000045
week 17,141603.1799999997
week 18,-160484.3099999996
week 19,84476.79999999981
week 20,34571.669999999925
week 21,-80436.3600000001
week 22,3635.110000000568
week 23,-6282.520000000717
week 24,181852.14000000036
week 25,-147636.86000000034
week 26,31959.040000000503
week 27,-59548.66000000038
week 28,310973.7000000004
week 29,-365510.11000000034
week 30,16338.599999999395
week 31,36309.6800000004
week 32,62733.439999999944
week 33,85664.23000000045
week 34,-42718.5700000003
week 35,-126733.56000000029
week 36,-4131.560000000056
week 37,220553.07000000053
week 38,-158669.48999999976
week 39,-15894.470000000205
week 40,-61401.24000000022
week 41,189592.33999999985
week 42,-118081.05999999959
week 43,31090.230000000447
week 44,13043.960000000428
week 45,43007.10000000009
week 46,61866.95999999996
week 47,-34822.509999997914
week 48,91955.88000000175
week 49,406868.3399999947
week 50,-173668.1499999906
week 51,-61513.63000000967
week 52,370120.3500000001
