week,difference_from_previous_week
week 1,NA
week 2,-550579.9299999988
week 3,-710632.6600000006
week 4,308692.9400000004
week 5,-166173.46000000043
week 6,25056.97999999998
week 7,409609.60999999987
week 8,-20194.799999999814
week 9,-320019.10000000056
week 10,306559.6500000004
week 11,123227.25000000093
week 12,-69377.96000000043
week 13,-248521.36000000034
week 14,13286.419999999925
week 15,178314.31000000006
week 16,60856.889999999665
week 17,197385.4300000011
week 18,-334216.9600000004
week 19,-6201.150000000838
week 20,254325.27000000048
week 21,-255264.45999999996
week 22,192869.51999999955
week 23,-132871.6499999999
week 24,231863.86999999918
week 25,-22549.919999999925
week 26,-112646.41999999993
week 27,-147542.3799999999
week 28,376843.7799999998
week 29,-300007.2599999993
week 30,40103.669999999925
week 31,-163863.16000000061
week 32,145193.52000000188
week 33,138488.3099999996
week 34,270.7200000002049
week 35,-276168.8100000005
week 36,12751.11999999918
week 37,172100.2600000007
week 38,-93344.97999999998
week 39,-134250.58000000054
week 40,-7385.639999998733
week 41,185337.62000000058
week 42,143884.7200000002
week 43,-223339.68000000063
week 44,60288.7900000005
week 45,119352.17000000365
week 46,79443.27000000421
week 47,129116.09999999776
week 48,94681.85999999894
week 49,568927.0299999826
week 50,-361423.8599999924
week 51,177786.17000000412
week 52,219265.73999999976
