week,difference_from_previous_week
week 1,NA
week 2,-586023.1400000001
week 3,-88538.25
week 4,7948.879999999888
week 5,-11078.1800000004
week 6,-1363.8799999996554
week 7,115787.46999999997
week 8,15162.44999999972
week 9,-138073.99999999977
week 10,159988.52000000025
week 11,46626.59999999963
week 12,-105055.1100000001
week 13,56820.46000000043
week 14,72875.16999999969
week 15,18945.379999999655
week 16,-22555.929999999236
week 17,94264.30999999982
week 18,-117526.25
week 19,88372.84999999963
week 20,29333.550000000047
week 21,-128983.45999999996
week 22,82645.78000000003
week 23,-83430.65999999992
week 24,265653.1900000002
week 25,-189335.79000000027
week 26,106202.69999999972
week 27,26430.120000000345
week 28,81691.33999999915
week 29,-270523.2599999993
week 30,38955.94999999972
week 31,-29493.700000000186
week 32,24332.939999999944
week 33,57159.05000000051
week 34,-7292.239999999991
week 35,-85013.09000000032
week 36,39448.50999999931
week 37,171264.330000001
week 38,-202501.84000000032
week 39,-86261.33999999939
week 40,2795.9499999997206
week 41,80294.33000000077
week 42,-5659.019999999087
week 43,-60008.200000000186
week 44,57121.72999999928
week 45,121700.26000000071
week 46,-14660.84999999986
week 47,-70400.61999999639
week 48,58635.87000000337
week 49,215211.82999999844
week 50,147974.49
week 51,-101949.6900000067
week 52,155683.27000000002
