week,difference_from_previous_week
week 1,NA
week 2,-243568.54000000027
week 3,-45922.9299999997
week 4,15188.799999999814
week 5,-340067.31999999983
week 6,138966.74
week 7,393637.8400000003
week 8,161916.6999999995
week 9,-363202.9499999997
week 10,-92723.50000000023
week 11,297855.9100000004
week 12,-179749.49000000022
week 13,-14274.610000000102
week 14,-107971.75999999978
week 15,250863.6499999999
week 16,-57495.58000000031
week 17,-41311.34999999986
week 18,-53768.91999999969
week 19,119454.07999999984
week 20,102745.3899999999
week 21,-182671.06999999983
week 22,-9260.71999999974
week 23,-63191.89000000013
week 24,396898.7699999998
week 25,-230837.14000000013
week 26,-3844.2600000000093
week 27,-135625.85999999987
week 28,360698.48999999976
week 29,-235465.5299999998
week 30,-116525.98999999976
week 31,-96699.83000000077
week 32,153519.85000000056
week 33,228492.56000000006
week 34,-155158.73999999976
week 35,-110793.58000000007
week 36,-73838.12000000104
week 37,231196.12000000058
week 38,-137657.0199999998
week 39,-103993.17000000016
week 40,-3488.320000000065
week 41,206686.92000000016
week 42,-24266.200000000186
week 43,-119838.02999999886
week 44,-33223.720000000205
week 45,116430.43000000063
week 46,64836.90999999968
week 47,-100079.94000000041
week 48,21328.74000000069
week 49,271404.1700000053
week 50,28749.619999998948
week 51,-36290.28000000538
week 52,46431.580000000075
