week,difference_from_previous_week
week 1,NA
week 2,-163913.20999999996
week 3,-18924.40000000014
week 4,22851.30000000028
week 5,-54737.87000000011
week 6,-101571.22999999998
week 7,144675.35999999987
week 8,6604.050000000512
week 9,-106999.28000000026
week 10,28719.610000000102
week 11,208844.5199999998
week 12,-134794.8899999999
week 13,-35989.1399999999
week 14,-12246.500000000233
week 15,294423.4800000002
week 16,-104317.04999999981
week 17,-43036.42000000039
week 18,-6996.939999999944
week 19,78329.92000000016
week 20,54990.47999999975
week 21,-110630.04000000004
week 22,-4829.469999999506
week 23,-3008.910000000382
week 24,159205.5
week 25,-95992.94999999972
week 26,-68405.1100000001
week 27,-25874.86999999988
week 28,165936.85999999964
week 29,-125751.72999999998
week 30,-6952.90000000014
week 31,-53729.3899999999
week 32,61451.74999999977
week 33,69861.56000000075
week 34,101428.63999999943
week 35,-134296.56999999983
week 36,-53755.72000000044
week 37,66573.49000000046
week 38,-13347.46999999974
week 39,-33784.40000000037
week 40,-69809.0399999998
week 41,116266.98999999999
week 42,52023.6399999999
week 43,-57712.55000000005
week 44,-94771.62999999989
week 45,25589.740000000922
week 46,5171.049999999814
week 47,-6173.059999999823
week 48,57463.54999999958
week 49,180564.33000000264
week 50,-134220.53000000142
week 51,27707.989999998594
week 52,82428.6099999994
