week,difference_from_previous_week
week 1,NA
week 2,144011.81999999972
week 3,-20626.08999999985
week 4,-13983.950000000186
week 5,-173284.95999999996
week 6,89154.56999999995
week 7,115896.50000000012
week 8,-38931.060000000056
week 9,-67848.73999999987
week 10,-27656.100000000093
week 11,168787.77000000014
week 12,-132912.7300000002
week 13,-53712.28999999992
week 14,-4036.6699999996927
week 15,132790.08999999973
week 16,-54203.31999999983
week 17,22738.639999999665
week 18,-103559.64999999967
week 19,121724.19999999995
week 20,9073.84999999986
week 21,-50594.409999999916
week 22,-72750.80999999994
week 23,-5167.630000000121
week 24,218862.19000000006
week 25,-122700.69999999995
week 26,-62777.25000000012
week 27,-76181.16000000015
week 28,225632.77000000014
week 29,-79500.08999999985
week 30,-46803.33000000031
week 31,-26387.319999999832
week 32,88984.84000000008
week 33,55970.25000000023
week 34,-18385.03000000026
week 35,-110108.14000000025
week 36,35720.040000000154
week 37,144419.04000000027
week 38,-77369.50000000023
week 39,-58899.590000000084
week 40,-30970.949999999953
week 41,128223.2100000002
week 42,6824.209999999963
week 43,-137717.9800000001
week 44,29967.530000000144
week 45,119825.9299999997
week 46,-69285.68999999971
week 47,-27052.429999999935
week 48,37909.95999999973
week 49,136589.65999999968
week 50,-38057.51999999955
week 51,-87700
week 52,26541.119999999646
