week,difference_from_previous_week
week 1,NA
week 2,-424867.99999999953
week 3,-129054.68000000017
week 4,-18962.070000000065
week 5,30523.25
week 6,-27022.5699999996
week 7,64903.73999999976
week 8,77025.8200000003
week 9,-123050.8900000006
week 10,-29991.629999999655
week 11,133089.2799999998
week 12,-56132.64000000013
week 13,-112646.55999999959
week 14,54979.83999999985
week 15,-28660.61999999988
week 16,109623.80999999982
week 17,37926.37999999989
week 18,27017.79000000027
week 19,-8415.520000000251
week 20,91130.75
week 21,-32774.45999999996
week 22,129094.94999999995
week 23,34508.80000000005
week 24,-6438.770000000019
week 25,-30791.489999999758
week 26,188907.71999999974
week 27,24664.52000000002
week 28,259287.98999999976
week 29,-304311.82000000007
week 30,-65189.82999999961
week 31,17346.07999999984
week 32,10113.26000000001
week 33,33925.91000000015
week 34,26758.37999999989
week 35,79836.86999999988
week 36,-2780.0200000004843
week 37,-231362.22999999952
week 38,-87009.44999999972
week 39,21137.360000000102
week 40,-46687.25
week 41,7847.579999999842
week 42,62894.64999999991
week 43,-36081.72999999975
week 44,-63558.95999999996
week 45,53516.44000000111
week 46,-29614.05000000028
week 47,58764.1800000004
week 48,-37971.4300000004
week 49,151227.49000000488
week 50,-89686.56000000215
week 51,66903.8799999964
week 52,156098.46999999974
