week,difference_from_previous_week
week 1,NA
week 2,-512984.2900000005
week 3,-110162.48999999976
week 4,-41821.45999999996
week 5,65173.58999999985
week 6,-64232.43000000017
week 7,216571.6399999999
week 8,16230.850000000093
week 9,-121298.2899999998
week 10,-1951.5100000002421
week 11,115416.20000000065
week 12,-19765.06000000029
week 13,-65500.9300000004
week 14,-22933.289999999804
week 15,140718.7100000002
week 16,-88801.07000000053
week 17,162984.13000000012
week 18,-127060.53999999957
week 19,-11363.300000000047
week 20,-55608.65000000014
week 21,-58205.25
week 22,37719.55000000005
week 23,29183.440000000177
week 24,53331.47999999928
week 25,-98649.62999999989
week 26,-34760.44999999972
week 27,-37413.049999999814
week 28,235702.0299999991
week 29,-287335.02999999933
week 30,38069.629999999655
week 31,23953.639999999898
week 32,50658.5700000003
week 33,96018.70000000019
week 34,-33784.25
week 35,-198584.02000000025
week 36,-28180.410000000382
week 37,87344.99000000069
week 38,-171196.58999999985
week 39,101427.73999999976
week 40,-28675.25
week 41,55857.560000000056
week 42,12157.100000000093
week 43,56263.450000000885
week 44,1628.0600000005215
week 45,116273.12999999966
week 46,-26418.21000000043
week 47,20462.95000000298
week 48,27735.889999999898
week 49,420056.7400000014
week 50,-227522.189999999
week 51,6234.029999994207
week 52,233761.85999999987
