week,difference_from_previous_week
week 1,NA
week 2,-259976.9400000004
week 3,-967911.6800000002
week 4,342138.53000000026
week 5,-82703.33000000007
week 6,-35204.89999999991
week 7,351600.33999999985
week 8,20856.200000000186
week 9,-262841.96999999974
week 10,253890.0799999996
week 11,63400.96999999974
week 12,-149760.11999999965
week 13,-62264
week 14,-23927.380000000354
week 15,131987.97000000067
week 16,27983.929999999702
week 17,340202.3500000001
week 18,-330468.33999999985
week 19,60057.700000000186
week 20,71382.08999999892
week 21,-96678.99999999953
week 22,118101.45999999996
week 23,-102135.1499999999
week 24,187961.02000000002
week 25,-152485.1299999999
week 26,9682.489999999292
week 27,-6828.4900000002235
week 28,257202.48000000045
week 29,-358727.60999999987
week 30,84689.02999999933
week 31,-87980.02000000048
week 32,196928.1800000011
week 33,103105.99000000069
week 34,-21207.000000000466
week 35,-290942.68999999994
week 36,37036.75999999931
week 37,146351.40000000037
week 38,-144894.2099999995
week 39,-34368.78000000026
week 40,-4315.020000000019
week 41,161936.67000000086
week 42,1943.910000000149
week 43,-151275.9200000004
week 44,156612.2599999993
week 45,92820.76000000117
week 46,17628.15000000503
week 47,-54880.37999999616
week 48,108668.09999999916
week 49,621009.8299999814
week 50,-239959.85999999382
week 51,30078.130000003614
week 52,409523.4299999997
